protein_id	beg	end	prokka_function
PDPDEDFA_00906	943	2155	Caffeyl-CoA reductase-Etf complex subunit CarE
PDPDEDFA_00907	2398	3631	Aspartate aminotransferase
PDPDEDFA_00908	3797	4820	hypothetical protein
PDPDEDFA_00909	5141	5501	hypothetical protein
PDPDEDFA_00910	5736	6900	Long-chain-alcohol dehydrogenase 2
PDPDEDFA_00911	7511	8507	hypothetical protein
PDPDEDFA_00912	8548	8983	Spermine/spermidine acetyltransferase
PDPDEDFA_00913	9294	10170	Mycothiol acetyltransferase
PDPDEDFA_00914	10747	11419	Phosphate-specific transport system accessory protein PhoU
PDPDEDFA_00915	11537	12290	Phosphate import ATP-binding protein PstB 3
PDPDEDFA_00916	12295	13054	Phosphate import ATP-binding protein PstB 3
PDPDEDFA_00917	13063	13900	Phosphate transport system permease protein PstA
PDPDEDFA_00918	13899	14763	Phosphate transport system permease protein PstC
PDPDEDFA_00919	14793	15585	Phosphate-binding protein PstS 1
PDPDEDFA_00920	15745	16009	hypothetical protein
PDPDEDFA_00921	16139	16865	hypothetical protein
PDPDEDFA_00922	17140	17803	Bifunctional ligase/repressor BirA
PDPDEDFA_00923	18056	18497	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
PDPDEDFA_00924	18531	19557	Malonyl CoA-acyl carrier protein transacylase
PDPDEDFA_00925	19815	20565	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_00926	20698	21976	3-oxoacyl-[acyl-carrier-protein] synthase 2
PDPDEDFA_00927	22115	22889	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
PDPDEDFA_00928	22978	23959	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
PDPDEDFA_00929	23968	25846	Serine/threonine-protein kinase PrkC
PDPDEDFA_00930	25916	26714	Protein phosphatase PrpC
PDPDEDFA_00931	26840	30041	Carbamoyl-phosphate synthase large chain
PDPDEDFA_00932	30103	30358	hypothetical protein
PDPDEDFA_00933	30512	30686	hypothetical protein
PDPDEDFA_00934	30670	31189	hypothetical protein
PDPDEDFA_00935	31409	31634	hypothetical protein
PDPDEDFA_00936	27	2751	Chemotaxis response regulator protein-glutamate methylesterase
PDPDEDFA_00937	2837	2927	hypothetical protein
PDPDEDFA_00938	2907	4881	hypothetical protein
PDPDEDFA_00939	5172	7302	Putative K(+)-stimulated pyrophosphate-energized sodium pump
PDPDEDFA_00940	7593	7806	hypothetical protein
PDPDEDFA_00941	7970	8672	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
PDPDEDFA_00942	9031	10030	Myo-inositol 2-dehydrogenase
PDPDEDFA_00943	10111	10453	hypothetical protein
PDPDEDFA_00944	10671	11838	Methionine aminopeptidase
PDPDEDFA_00945	222	2712	hypothetical protein
PDPDEDFA_00946	2837	4205	hypothetical protein
PDPDEDFA_00947	4739	5783	Ethanolamine utilization protein EutD
PDPDEDFA_00948	58	559	Flagellar hook-associated protein 1
PDPDEDFA_00949	707	1619	Flagellar hook-associated protein 3
PDPDEDFA_00950	1758	2265	Flagellar assembly factor FliW
PDPDEDFA_00951	2336	2852	Flagellar assembly factor FliW
PDPDEDFA_00952	3367	3694	Carbon storage regulator
PDPDEDFA_00953	4159	5287	Flagellin
PDPDEDFA_00954	69	1452	hypothetical protein
PDPDEDFA_00955	1676	2519	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
PDPDEDFA_00956	2771	3878	Histidinol-phosphate aminotransferase
PDPDEDFA_00957	3883	5233	Histidinol dehydrogenase
PDPDEDFA_00958	5317	5863	Epoxyqueuosine reductase QueH
PDPDEDFA_00959	507	1476	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_00960	1527	2502	2-oxoisovalerate dehydrogenase subunit beta
PDPDEDFA_00961	2705	3896	Transaldolase
PDPDEDFA_00962	3959	4457	hypothetical protein
PDPDEDFA_00963	4571	4967	hypothetical protein
PDPDEDFA_00964	5165	6350	Protein TsgA
PDPDEDFA_00965	6416	7109	Demethylmenaquinone methyltransferase
PDPDEDFA_00966	7312	8791	hypothetical protein
PDPDEDFA_00967	743	2027	Protein translocase subunit SecDF
PDPDEDFA_00968	2071	2524	hypothetical protein
PDPDEDFA_00969	2633	3914	Queuine tRNA-ribosyltransferase
PDPDEDFA_00970	4135	5149	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PDPDEDFA_00971	5164	6382	Holliday junction ATP-dependent DNA helicase RuvB
PDPDEDFA_00972	6388	6979	Holliday junction ATP-dependent DNA helicase RuvA
PDPDEDFA_00973	7007	7532	Crossover junction endodeoxyribonuclease RuvC
PDPDEDFA_00974	7751	8504	putative transcriptional regulatory protein
PDPDEDFA_00975	8774	9578	Pyridoxal 5'-phosphate synthase subunit PdxT
PDPDEDFA_00976	9834	10716	Pyridoxal 5'-phosphate synthase subunit PdxS
PDPDEDFA_00977	10716	11766	Protease HtpX
PDPDEDFA_00978	12045	12615	Protein LemA
PDPDEDFA_00979	12813	14907	Elongation factor G
PDPDEDFA_00980	14903	16154	hypothetical protein
PDPDEDFA_00981	16387	16789	hypothetical protein
PDPDEDFA_00982	16812	17244	hypothetical protein
PDPDEDFA_00983	17507	18617	hypothetical protein
PDPDEDFA_00984	18745	20185	putative FAD-linked oxidoreductase
PDPDEDFA_00985	20475	22092	Xylulose kinase
PDPDEDFA_00986	22252	23089	3-dehydro-scyllo-inosose hydrolase
PDPDEDFA_00987	23159	23489	Fumarate reductase iron-sulfur subunit
PDPDEDFA_00988	23546	25265	Succinate dehydrogenase flavoprotein subunit
PDPDEDFA_00989	25456	26230	Glycerol-3-phosphate regulon repressor
PDPDEDFA_00990	26748	28041	Protein TsgA
PDPDEDFA_00991	28113	28707	hypothetical protein
PDPDEDFA_00992	28914	29658	hypothetical protein
PDPDEDFA_00993	29855	30764	hypothetical protein
PDPDEDFA_00994	30804	32769	Apolipoprotein N-acyltransferase
PDPDEDFA_00995	32913	34104	hypothetical protein
PDPDEDFA_00996	34243	34780	hypothetical protein
PDPDEDFA_00997	431	860	hypothetical protein
PDPDEDFA_00998	934	2602	putative FAD-linked oxidoreductase
PDPDEDFA_00999	2602	3757	Glycerate 2-kinase
PDPDEDFA_01000	3784	3949	hypothetical protein
PDPDEDFA_01001	3954	4962	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
PDPDEDFA_01002	5050	5350	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_01003	1446	2247	Triosephosphate isomerase
PDPDEDFA_01004	2255	3086	L-ribulose-5-phosphate 4-epimerase
PDPDEDFA_01005	3388	4390	hypothetical protein
PDPDEDFA_01006	4983	6123	hypothetical protein
PDPDEDFA_01007	6217	8632	Phenylalanine--tRNA ligase beta subunit
PDPDEDFA_01008	8664	9696	Phenylalanine--tRNA ligase alpha subunit
PDPDEDFA_01009	9699	10059	50S ribosomal protein L20
PDPDEDFA_01010	10078	10273	50S ribosomal protein L35
PDPDEDFA_01011	10326	10725	Translation initiation factor IF-3
PDPDEDFA_01012	11191	11470	Cyclic di-GMP phosphodiesterase
PDPDEDFA_01013	11476	13234	Threonine--tRNA ligase 2
PDPDEDFA_01015	13674	15183	Transcriptional regulator LytR
PDPDEDFA_01016	15439	16000	hypothetical protein
PDPDEDFA_01017	15971	16079	hypothetical protein
PDPDEDFA_01018	16323	17130	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
PDPDEDFA_01019	17135	17444	hypothetical protein
PDPDEDFA_01020	17492	17666	hypothetical protein
PDPDEDFA_01021	17751	17916	hypothetical protein
PDPDEDFA_01022	18210	18681	hypothetical protein
PDPDEDFA_01023	18811	20110	N-formyl-4-amino-5-aminomethyl-2- methylpyrimidine deformylase
PDPDEDFA_01024	20323	21007	hypothetical protein
PDPDEDFA_01025	21134	22031	hypothetical protein
PDPDEDFA_01026	22410	23256	Transcriptional regulatory protein SrrA
PDPDEDFA_01027	23420	24860	Adaptive-response sensory-kinase SasA
PDPDEDFA_01028	12	642	hypothetical protein
PDPDEDFA_01029	634	1060	hypothetical protein
PDPDEDFA_01030	1273	2035	hypothetical protein
PDPDEDFA_01031	2224	2920	Endonuclease III
PDPDEDFA_01032	3047	4796	DNA polymerase/3'-5' exonuclease PolX
PDPDEDFA_01033	4837	5032	hypothetical protein
PDPDEDFA_01034	5371	6664	hypothetical protein
PDPDEDFA_01035	6949	7996	HTH-type transcriptional repressor PurR
PDPDEDFA_01036	8181	9429	hypothetical protein
PDPDEDFA_01037	9530	10967	Ribose import ATP-binding protein RbsA
PDPDEDFA_01038	10985	11969	Ribose import permease protein RbsC
PDPDEDFA_01039	11969	12950	Ribose import permease protein RbsC
PDPDEDFA_01040	13077	13995	hypothetical protein
PDPDEDFA_01041	14016	15192	hypothetical protein
PDPDEDFA_01042	15235	16213	Xylose isomerase
PDPDEDFA_01043	16468	16789	L-rhamnose mutarotase
PDPDEDFA_01044	17005	18040	hypothetical protein
PDPDEDFA_01045	18375	19869	L-Rhamnulokinase
PDPDEDFA_01046	19865	20960	hypothetical protein
PDPDEDFA_01047	21106	21832	Protein-L-isoaspartate O-methyltransferase
PDPDEDFA_01048	1583	2315	hypothetical protein
PDPDEDFA_01049	2611	3355	hypothetical protein
PDPDEDFA_01050	3526	4462	hypothetical protein
PDPDEDFA_01051	4980	5910	O-acetylserine sulfhydrylase
PDPDEDFA_01052	423	2616	Cyclic-di-AMP phosphodiesterase PgpH
PDPDEDFA_01053	2848	3820	PhoH-like protein
PDPDEDFA_01054	4066	4411	putative HIT-like protein
PDPDEDFA_01055	4868	6455	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
PDPDEDFA_01056	6460	7462	hypothetical protein
PDPDEDFA_01057	7471	8617	Chaperone protein DnaJ
PDPDEDFA_01058	8803	9874	Heat-inducible transcription repressor HrcA
PDPDEDFA_01059	10099	10900	hypothetical protein
PDPDEDFA_01060	10910	11687	Riboflavin transport system permease protein RibX
PDPDEDFA_01061	11998	13087	Formylaminopyrimidine-binding protein
PDPDEDFA_01062	13280	14048	Aliphatic sulfonates import ATP-binding protein SsuB
PDPDEDFA_01063	14188	15580	Chemotaxis response regulator protein-glutamate methylesterase
PDPDEDFA_01064	39	456	Putative nickel-responsive regulator
PDPDEDFA_01065	698	992	hypothetical protein
PDPDEDFA_01066	984	1341	hypothetical protein
PDPDEDFA_01068	1891	2887	Exopolyphosphatase 2
PDPDEDFA_01069	2980	3442	hypothetical protein
PDPDEDFA_01070	3695	4574	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG
PDPDEDFA_01071	4595	6008	Chaperone SurA
PDPDEDFA_01072	6318	9891	Transcription-repair-coupling factor
PDPDEDFA_01073	9921	10494	Peptidyl-tRNA hydrolase
PDPDEDFA_01074	10536	11211	50S ribosomal protein L25
PDPDEDFA_01075	11273	12242	Ribose-phosphate pyrophosphokinase
PDPDEDFA_01076	12453	13896	Bifunctional protein GlmU
PDPDEDFA_01077	13888	14197	hypothetical protein
PDPDEDFA_01078	14482	15562	hypothetical protein
PDPDEDFA_01079	15759	16662	hypothetical protein
PDPDEDFA_01080	16712	18158	hypothetical protein
PDPDEDFA_01081	18358	19795	Glycosyltransferase Gtf1
PDPDEDFA_01082	19797	21612	hypothetical protein
PDPDEDFA_01083	21601	22495	hypothetical protein
PDPDEDFA_01084	22436	22610	hypothetical protein
PDPDEDFA_01085	22599	24837	GDP-L-fucose synthase
PDPDEDFA_01086	25203	26265	hypothetical protein
PDPDEDFA_01087	26268	27306	hypothetical protein
PDPDEDFA_01088	27469	29377	hypothetical protein
PDPDEDFA_01089	29706	30357	Alpha-D-glucose 1-phosphate phosphatase YihX
PDPDEDFA_01090	30684	33429	hypothetical protein
PDPDEDFA_01091	33476	34445	hypothetical protein
PDPDEDFA_01092	34636	35260	hypothetical protein
PDPDEDFA_01093	35642	38123	hypothetical protein
PDPDEDFA_01094	38150	39350	4,4'-diaponeurosporenoate glycosyltransferase
PDPDEDFA_01095	39632	40214	HTH-type transcriptional regulator AcrR
PDPDEDFA_01096	40242	40818	Methylated-DNA--protein-cysteine methyltransferase
PDPDEDFA_01097	40830	41025	hypothetical protein
PDPDEDFA_01098	41116	42403	Vitamin B12 import ATP-binding protein BtuD
PDPDEDFA_01099	42569	43616	Hemin transport system permease protein HmuU
PDPDEDFA_01100	43618	44623	Adenosylcobinamide-GDP ribazoletransferase
PDPDEDFA_01101	44647	45241	Bifunctional adenosylcobalamin biosynthesis protein CobU
PDPDEDFA_01102	173	971	hypothetical protein
PDPDEDFA_01103	1296	1803	hypothetical protein
PDPDEDFA_01104	2020	2236	hypothetical protein
PDPDEDFA_01105	2284	2626	hypothetical protein
PDPDEDFA_01106	2781	3060	hypothetical protein
PDPDEDFA_01107	3047	3233	hypothetical protein
PDPDEDFA_01108	3473	4577	hypothetical protein
PDPDEDFA_01109	4772	5711	hypothetical protein
PDPDEDFA_01110	5713	8947	RNA polymerase-associated protein RapA
PDPDEDFA_01111	32	239	hypothetical protein
PDPDEDFA_01112	329	548	hypothetical protein
PDPDEDFA_01113	548	812	hypothetical protein
PDPDEDFA_01114	1017	1146	hypothetical protein
PDPDEDFA_01115	1151	2171	hypothetical protein
PDPDEDFA_01116	2688	3201	hypothetical protein
PDPDEDFA_01117	3307	4018	hypothetical protein
PDPDEDFA_01118	4101	4332	hypothetical protein
PDPDEDFA_01119	4334	4610	hypothetical protein
PDPDEDFA_01121	5033	6206	hypothetical protein
PDPDEDFA_01122	6342	6546	hypothetical protein
PDPDEDFA_01123	6805	9220	hypothetical protein
PDPDEDFA_01124	9413	10316	GTP cyclohydrolase 1 type 2
PDPDEDFA_01125	10308	11073	hypothetical protein
PDPDEDFA_01126	11091	11586	Ribonuclease H
PDPDEDFA_01127	11600	12425	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
PDPDEDFA_01128	509	2210	Transcription termination factor Rho
PDPDEDFA_01129	2350	2566	50S ribosomal protein L31
PDPDEDFA_01130	2792	3476	Thymidylate synthase ThyX
PDPDEDFA_01131	3468	4581	hypothetical protein
PDPDEDFA_01132	4665	5745	Peptide chain release factor 1
PDPDEDFA_01133	5761	7054	Release factor glutamine methyltransferase
PDPDEDFA_01134	7128	8433	putative transporter
PDPDEDFA_01135	8758	10021	Serine hydroxymethyltransferase
PDPDEDFA_01136	8	308	L-ribulose-5-phosphate 3-epimerase UlaE
PDPDEDFA_01137	358	1303	Deoxyribonucleoside regulator
PDPDEDFA_01138	1609	2299	hypothetical protein
PDPDEDFA_01139	2482	2992	hypothetical protein
PDPDEDFA_01140	3138	4434	PTS system galactitol-specific EIIC component
PDPDEDFA_01141	4774	5716	Deoxyribonucleoside regulator
PDPDEDFA_01142	5808	6855	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_01143	7139	8126	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
PDPDEDFA_01144	8680	10126	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PDPDEDFA_01145	10135	10579	hypothetical protein
PDPDEDFA_01146	10581	11355	Octanoyltransferase
PDPDEDFA_01147	11910	12315	hypothetical protein
PDPDEDFA_01148	224	713	Acetolactate synthase small subunit
PDPDEDFA_01149	871	2566	Acetolactate synthase large subunit IlvB1
PDPDEDFA_01150	2893	4552	Dihydroxy-acid dehydratase
PDPDEDFA_01151	120	2208	Elongation factor G
PDPDEDFA_01152	2524	2995	30S ribosomal protein S7
PDPDEDFA_01153	3033	3405	30S ribosomal protein S12
PDPDEDFA_01154	3624	8154	DNA-directed RNA polymerase subunit beta'
PDPDEDFA_01155	8183	12572	DNA-directed RNA polymerase subunit beta
PDPDEDFA_01156	13072	13336	hypothetical protein
PDPDEDFA_01157	2287	2827	Albonoursin synthase
PDPDEDFA_01158	3128	3995	Branched-chain-amino-acid aminotransferase
PDPDEDFA_01159	3991	5845	Isochorismate synthase MenF
PDPDEDFA_01160	5850	6444	Aminodeoxychorismate/anthranilate synthase component 2
PDPDEDFA_01161	6892	7804	Vitamin B12 import ATP-binding protein BtuD
PDPDEDFA_01162	7830	8619	hypothetical protein
PDPDEDFA_01163	8876	9206	hypothetical protein
PDPDEDFA_01164	9561	10545	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
PDPDEDFA_01165	10742	11681	hypothetical protein
PDPDEDFA_01166	11754	13233	Glycerol kinase
PDPDEDFA_01167	13428	14544	Xylose isomerase
PDPDEDFA_01168	14648	15737	D-arabitol-phosphate dehydrogenase
PDPDEDFA_01169	15892	16780	hypothetical protein
PDPDEDFA_01170	17017	17647	hypothetical protein
PDPDEDFA_01171	20	236	hypothetical protein
PDPDEDFA_01172	247	1351	Trehalose import ATP-binding protein SugC
PDPDEDFA_01173	1527	2307	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
PDPDEDFA_01174	2347	3694	hypothetical protein
PDPDEDFA_01175	3765	5244	NAD/NADP-dependent betaine aldehyde dehydrogenase
PDPDEDFA_01176	5650	6541	4-hydroxy-tetrahydrodipicolinate synthase
PDPDEDFA_01177	6541	7510	Hydroxypyruvate reductase
PDPDEDFA_01178	7599	8970	Succinate-semialdehyde dehydrogenase (acetylating)
PDPDEDFA_01179	8962	10120	Succinate--CoA ligase [GDP-forming] subunit beta
PDPDEDFA_01180	10116	10992	Succinate--CoA ligase [ADP-forming] subunit alpha
PDPDEDFA_01181	11198	12164	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_01182	12357	13341	2-oxoisovalerate dehydrogenase subunit beta
PDPDEDFA_01183	13357	14101	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_01184	14103	14517	putative ferredoxin-like protein YdhX
PDPDEDFA_01185	14809	15076	hypothetical protein
PDPDEDFA_01186	15557	17114	hypothetical protein
PDPDEDFA_01187	17299	18394	hypothetical protein
PDPDEDFA_01188	18423	19266	Anaerobic sulfite reductase subunit B
PDPDEDFA_01189	19262	20384	Anaerobic sulfite reductase subunit A
PDPDEDFA_01190	20383	21397	hypothetical protein
PDPDEDFA_01191	21611	22061	hypothetical protein
PDPDEDFA_01192	22087	23833	Electron transport complex subunit RsxB
PDPDEDFA_01193	130	973	hypothetical protein
PDPDEDFA_01194	1192	1732	hypothetical protein
PDPDEDFA_01195	1807	2971	hypothetical protein
PDPDEDFA_01196	3191	4850	hypothetical protein
PDPDEDFA_01197	5118	5640	hypothetical protein
PDPDEDFA_01198	533	1025	hypothetical protein
PDPDEDFA_01199	1106	1511	hypothetical protein
PDPDEDFA_01200	1543	2908	hypothetical protein
PDPDEDFA_01201	3050	4304	hypothetical protein
PDPDEDFA_01202	4771	5335	hypothetical protein
PDPDEDFA_01203	17	590	DNA translocase SpoIIIE
PDPDEDFA_01204	873	2199	Nicotinamide-nucleotide amidohydrolase PncC
PDPDEDFA_01205	2179	2767	RNA 2',3'-cyclic phosphodiesterase
PDPDEDFA_01206	2858	3995	Protein RecA
PDPDEDFA_01210	9724	10645	hypothetical protein
PDPDEDFA_01211	11076	12621	Glycine betaine methyltransferase
PDPDEDFA_01212	12694	13774	HTH-type transcriptional regulator DegA
PDPDEDFA_01213	14303	15593	Acetyl-CoA acetyltransferase
PDPDEDFA_01215	16003	16720	Isochorismatase family protein YecD
PDPDEDFA_01216	17329	18541	hypothetical protein
PDPDEDFA_01217	18832	20515	Glutamine--tRNA ligase
PDPDEDFA_01218	20567	22718	Dimethyl sulfoxide reductase DmsA
PDPDEDFA_01219	23011	23722	hypothetical protein
PDPDEDFA_01220	23979	24759	hypothetical protein
PDPDEDFA_01221	24993	25434	HTH-type transcriptional regulator CymR
PDPDEDFA_01222	25440	25581	hypothetical protein
PDPDEDFA_01223	25676	26525	Pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase
PDPDEDFA_01224	26564	27863	L-methionine gamma-lyase
PDPDEDFA_01225	425	1292	hypothetical protein
PDPDEDFA_01226	1377	2493	hypothetical protein
PDPDEDFA_01227	2514	3318	hypothetical protein
PDPDEDFA_01228	3510	4323	hypothetical protein
PDPDEDFA_01229	4583	5672	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
PDPDEDFA_01230	5733	5991	hypothetical protein
PDPDEDFA_01231	6168	7038	hypothetical protein
PDPDEDFA_01232	7247	8606	2,2-dialkylglycine decarboxylase
PDPDEDFA_01233	8949	9732	Glucitol operon repressor
PDPDEDFA_01234	9895	10759	Trehalose transport system permease protein SugB
PDPDEDFA_01235	10795	11704	Lactose transport system permease protein LacF
PDPDEDFA_01236	12120	13530	hypothetical protein
PDPDEDFA_01237	14065	15238	hypothetical protein
PDPDEDFA_01238	15461	16691	Fosmidomycin resistance protein
PDPDEDFA_01239	17000	17168	hypothetical protein
PDPDEDFA_01240	17213	17507	hypothetical protein
PDPDEDFA_01241	17704	18535	putative NTE family protein
PDPDEDFA_01242	18759	19812	hypothetical protein
PDPDEDFA_01243	19789	20440	Transcriptional regulatory protein LiaR
PDPDEDFA_01244	20535	20928	hypothetical protein
PDPDEDFA_01245	20990	21587	hypothetical protein
PDPDEDFA_01246	21614	21773	hypothetical protein
PDPDEDFA_01247	21914	22553	hypothetical protein
PDPDEDFA_01248	22624	23659	Catabolite control protein A
PDPDEDFA_01249	23710	24823	hypothetical protein
PDPDEDFA_01250	25146	26994	hypothetical protein
PDPDEDFA_01251	27157	28021	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PDPDEDFA_01252	28075	29056	hypothetical protein
PDPDEDFA_01253	29055	29421	hypothetical protein
PDPDEDFA_01254	29556	30723	Iron-sulfur cluster carrier protein
PDPDEDFA_01255	31111	32350	putative glucarate transporter
PDPDEDFA_01256	32805	34692	Energy-dependent translational throttle protein EttA
PDPDEDFA_01257	34703	35120	hypothetical protein
PDPDEDFA_01258	294	1062	hypothetical protein
PDPDEDFA_01259	1582	2215	Methionine synthase
PDPDEDFA_01260	2403	3429	hypothetical protein
PDPDEDFA_01261	3566	4199	hypothetical protein
PDPDEDFA_01262	4282	5053	hypothetical protein
PDPDEDFA_01263	5116	6964	NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
PDPDEDFA_01264	6953	7304	hypothetical protein
PDPDEDFA_01265	7300	7885	hypothetical protein
PDPDEDFA_01266	7884	8316	NADH-quinone oxidoreductase subunit I
PDPDEDFA_01267	8336	9272	NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
PDPDEDFA_01268	9268	10777	NAD(P)H-quinone oxidoreductase subunit H, chloroplastic
PDPDEDFA_01269	10818	11223	NADH-quinone oxidoreductase subunit B
PDPDEDFA_01270	185	935	IS21 family transposase ISGur9
PDPDEDFA_01271	927	2451	IS21 family transposase ISPpu7
PDPDEDFA_01272	165	1533	NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon
PDPDEDFA_01273	1529	2087	hypothetical protein
PDPDEDFA_01274	2222	3743	hypothetical protein
PDPDEDFA_01275	3746	5045	hypothetical protein
PDPDEDFA_01276	5772	6045	hypothetical protein
PDPDEDFA_01277	6136	7129	Fructose-bisphosphate aldolase
PDPDEDFA_01278	7219	7933	hypothetical protein
PDPDEDFA_01280	8405	9113	hypothetical protein
PDPDEDFA_01281	9096	9411	hypothetical protein
PDPDEDFA_01282	9672	10455	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PDPDEDFA_01283	10667	10901	hypothetical protein
PDPDEDFA_01284	11188	11626	hypothetical protein
PDPDEDFA_01285	11683	12559	hypothetical protein
PDPDEDFA_01286	12775	13291	hypothetical protein
PDPDEDFA_01287	13604	14147	hypothetical protein
PDPDEDFA_01288	14308	14641	hypothetical protein
PDPDEDFA_01289	14641	15490	Protein DegV
PDPDEDFA_01290	15907	16444	hypothetical protein
PDPDEDFA_01291	16447	17410	8-methylmenaquinol:fumarate reductase membrane anchor subunit
PDPDEDFA_01292	17623	17887	hypothetical protein
PDPDEDFA_01293	18055	18406	hypothetical protein
PDPDEDFA_01294	129	1359	Ribose import ATP-binding protein RbsA
PDPDEDFA_01295	1448	2390	Ribose import permease protein RbsC
PDPDEDFA_01296	2403	3357	Ribose import permease protein RbsC
PDPDEDFA_01297	762	1980	N-acetylglucosamine repressor
PDPDEDFA_01298	2136	3294	hypothetical protein
PDPDEDFA_01299	3381	4884	Xylose import ATP-binding protein XylG
PDPDEDFA_01300	4890	5898	D-allose transport system permease protein AlsC
PDPDEDFA_01301	5912	6905	Ribose import permease protein RbsC
PDPDEDFA_01302	6947	8144	hypothetical protein
PDPDEDFA_01303	8174	8336	hypothetical protein
PDPDEDFA_01304	8381	9014	Methionine synthase
PDPDEDFA_01305	9212	10328	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PDPDEDFA_01306	1399	2623	Aspartate aminotransferase
PDPDEDFA_01307	2927	3602	hypothetical protein
PDPDEDFA_01308	3617	4589	2-oxoisovalerate dehydrogenase subunit beta
PDPDEDFA_01309	4692	5694	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PDPDEDFA_01310	205	448	hypothetical protein
PDPDEDFA_01311	744	1191	Transcriptional regulator MntR
PDPDEDFA_01312	1194	1410	hypothetical protein
PDPDEDFA_01313	1422	3675	Fe(2+) transporter FeoB
PDPDEDFA_01314	3667	4021	hypothetical protein
PDPDEDFA_01315	4225	5320	hypothetical protein
PDPDEDFA_01316	5325	5928	hypothetical protein
PDPDEDFA_01317	6120	6801	hypothetical protein
PDPDEDFA_01318	6885	8247	hypothetical protein
PDPDEDFA_01319	8552	8888	L-rhamnose isomerase
PDPDEDFA_01320	8904	9774	L-rhamnose isomerase
PDPDEDFA_01321	10047	10941	hypothetical protein
PDPDEDFA_01322	11527	12832	hypothetical protein
PDPDEDFA_01323	13110	14631	Glycerol kinase
PDPDEDFA_01324	14775	15813	putative fructose-bisphosphate aldolase
PDPDEDFA_01325	15966	17100	hypothetical protein
PDPDEDFA_01326	17125	18139	2-oxoisovalerate dehydrogenase subunit beta
PDPDEDFA_01327	18135	19599	hypothetical protein
PDPDEDFA_01328	19618	20518	putative fructose-bisphosphate aldolase
PDPDEDFA_01329	20554	21706	hypothetical protein
PDPDEDFA_01330	21774	23292	Xylulose kinase
PDPDEDFA_01331	23291	24827	hypothetical protein
PDPDEDFA_01332	24943	25996	hypothetical protein
PDPDEDFA_01333	26188	27322	hypothetical protein
PDPDEDFA_01334	27369	28128	Trehalose transport system permease protein SugB
PDPDEDFA_01335	28265	29138	Lactose transport system permease protein LacF
PDPDEDFA_01336	29406	30189	hypothetical protein
PDPDEDFA_01337	507	2136	hypothetical protein
PDPDEDFA_01342	711	843	hypothetical protein
PDPDEDFA_01343	824	2831	ATP-dependent DNA helicase PcrA
PDPDEDFA_01344	3401	3728	hypothetical protein
PDPDEDFA_01345	3779	4112	hypothetical protein
PDPDEDFA_01346	4159	4918	Aspartate aminotransferase
PDPDEDFA_01347	114	366	hypothetical protein
PDPDEDFA_01348	832	1699	Ribose operon repressor
PDPDEDFA_01349	1754	3065	Uronate isomerase
PDPDEDFA_01350	3159	5154	hypothetical protein
PDPDEDFA_01351	5242	8305	Chemotaxis response regulator protein-glutamate methylesterase
PDPDEDFA_01352	8757	11412	Protein TolB
PDPDEDFA_01353	11403	12927	putative signaling protein
PDPDEDFA_01354	13506	14391	HTH-type transcriptional regulator MurR
PDPDEDFA_01355	14478	15579	Uroporphyrinogen decarboxylase
PDPDEDFA_01356	15642	17037	5-aminovalerate aminotransferase DavT
PDPDEDFA_01357	17250	18351	hypothetical protein
PDPDEDFA_01358	18684	19458	putative HTH-type transcriptional regulator YdjF
PDPDEDFA_01359	19814	20978	hypothetical protein
