genome_name	original_name	genome_size	completeness	redundancy	NCBI_taxonomy	gtdb_taxonomy	GTDB_phylum	NCBI_phylum
bacteria10932	GCA_002294405.1	1.44	55.15151515	0	Anaerolineales bacterium UBA877	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	Chloroflexota	Chloroflexi
bacteria11094	GCA_002298125.1	2.98	96.87684729	2.282430213	Clostridium sp. UBA701	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	Firmicutes_A	Firmicutes
bacteria11097	GCA_002298165.1	4.63	96.93548387	1.451612903	Desulfarculales bacterium UBA702	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__UBA696;s__	Desulfobacterota	Deltaproteobacteria
bacteria11124	GCA_002298725.1	3.12	77.14770984	0	Desulfovibrio sp. UBA728	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	Desulfobacterota	Deltaproteobacteria
bacteria11134	GCA_002298915.1	2.74	78.94736842	1.754385965	Clostridium sp. UBA699	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	Firmicutes_A	Firmicutes
bacteria11135	GCA_002298925.1	4.33	90.89861751	0.64516129	Geobacter sp. UBA698	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	Desulfuromonadota	Deltaproteobacteria
bacteria11138	GCA_002298995.1	4.17	96.77419355	1.021505376	Desulfarculales bacterium UBA696	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__UBA696;s__	Desulfobacterota	Deltaproteobacteria
bacteria11166	GCA_002299555.1	2.66	86.4802944	1.709401709	Candidatus Aminicenantes bacterium UBA647	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__;s__	Acidobacteriota	Acidobacteria
bacteria11222	GCA_002304835.1	1.46	83.59929078	0	Firmicutes bacterium UBA1422	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	Firmicutes_A	Firmicutes
bacteria11230	GCA_002304995.1	3.42	92.58064516	3.369175627	Syntrophaceae bacterium UBA1411	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	Desulfobacterota	Deltaproteobacteria
bacteria11269	GCA_002305765.1	3.57	88.17204301	2.903225806	Deltaproteobacteria bacterium UBA1386	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__	Desulfobacterota_B	Deltaproteobacteria
bacteria11313	GCA_002306665.1	3.06	73.66863905	0.887573964	Desulfovibrio sp. UBA1335	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	Desulfobacterota	Deltaproteobacteria
bacteria11328	GCA_002306975.1	3.37	74.33521456	2.810402685	Ruminococcaceae bacterium UBA1320	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ruminiclostridium_D;s__	Firmicutes_A	Firmicutes
bacteria11330	GCA_002307015.1	4.54	81.24346917	2.298850575	Spirochaetaceae bacterium UBA1318	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__;g__;s__	Spirochaetota	Spirochaetes
bacteria11342	GCA_002307245.1	4.1	82.84057615	3.448275862	Spirochaetaceae bacterium UBA1306	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA8932;g__;s__	Spirochaetota	Spirochaetes
bacteria11343	GCA_002307275.1	3.8	88.03131991	1.067724222	Hungateiclostridiaceae bacterium UBA1305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__;s__	Firmicutes_A	Firmicutes
bacteria11556	GCA_002312915.1	2.84	92.25806452	2.47311828	Syntrophaceae bacterium UBA1164	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	Desulfobacterota	Deltaproteobacteria
bacteria11782	GCA_002319915.1	3.77	93.47089947	2.158730159	Bacteroidales bacterium UBA1800	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__	Bacteroidota	Bacteroidetes
bacteria11886	GCA_002322035.1	2.35	85.16129032	0.64516129	Geobacter sp. UBA1603	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria11908	GCA_002322475.1	3.6	85.58052434	0.066093853	Elusimicrobia bacterium UBA1565	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__UBA1565;s__	Elusimicrobiota	Elusimicrobia
bacteria12041	GCA_002327225.1	2.46	58.77192982	1.754385965	Desulfobulbaceae bacterium UBA2213	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__UBA2270;s__	Desulfobacterota	Deltaproteobacteria
bacteria12051	GCA_002327415.1	1.75	76.96108551	2.580645161	Smithella sp. UBA2180	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	Desulfobacterota	Deltaproteobacteria
bacteria12076	GCA_002327925.1	2.81	77.98165138	0.183486239	Anaerolineales bacterium UBA2200	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__;s__	Chloroflexota	Chloroflexi
bacteria12079	GCA_002327985.1	3.98	93.22580645	1.290322581	Syntrophaceae bacterium UBA2188	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	Desulfobacterota	Deltaproteobacteria
bacteria12088	GCA_002328165.1	2.94	96.4516129	0.64516129	Desulfobacteraceae bacterium UBA2156	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria12104	GCA_002328485.1	2.19	77.54435107	1.680672269	Deltaproteobacteria bacterium UBA2221	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__;g__;s__	Desulfobacterota_B	Deltaproteobacteria
bacteria12131	GCA_002329025.1	2.98	95.16129032	0.64516129	Desulfobacteraceae bacterium UBA2130	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria12162	GCA_002329645.1	2.91	94.21840045	4.642058166	Lachnoclostridium sp. UBA1434	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix;s__	Firmicutes_A	Firmicutes
bacteria12556	GCA_002340985.1	3.24	97.66899767	1.398601399	Firmicutes bacterium UBA2530	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	Firmicutes_A	Firmicutes
bacteria12786	GCA_002345625.1	2.41	70.25089606	1.935483871	Desulfuromonadaceae bacterium UBA2294	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria12801	GCA_002345925.1	2.47	90.20833333	1.805555556	Actinobacteria bacterium UBA2286	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2286;s__	Actinobacteriota	Actinobacteria
bacteria12864	GCA_002347185.1	2.85	89.16446208	4.96031746	Desulfobulbaceae bacterium UBA2262	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__	Desulfobacterota	Deltaproteobacteria
bacteria12866	GCA_002347225.1	3.1	73.68421053	1.754385965	Desulfobulbaceae bacterium UBA2248	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria12873	GCA_002347365.1	2.25	94.30555556	2.222222222	Actinobacteria bacterium UBA2279	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__;s__	Actinobacteriota	Actinobacteria
bacteria12876	GCA_002347425.1	1.82	83.94295578	3.797468354	Firmicutes bacterium UBA2269	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__46-80;s__	Firmicutes_B	Firmicutes
bacteria12878	GCA_002347465.1	3.31	84.60061444	3.225806452	Geobacter sp. UBA2265	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria12889	GCA_002347685.1	3.87	96.77419355	5.483870968	Syntrophaceae bacterium UBA2280	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	Desulfobacterota	Deltaproteobacteria
bacteria12892	GCA_002347745.1	3.95	91.34700176	6.845238095	Desulfobulbaceae bacterium UBA2270	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__UBA2270;s__	Desulfobacterota	Deltaproteobacteria
bacteria12896	GCA_002347815.1	2.73	94.83870968	3.46390169	Syntrophaceae bacterium UBA2251	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria12907	GCA_002348045.1	3.61	88.23093319	4.770642202	Anaerolineales bacterium UBA2232	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__;s__	Chloroflexota	Chloroflexi
bacteria13121	GCA_002352445.1	4.21	89.47310406	2.678571429	Desulfobulbaceae bacterium UBA2775	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__UBA2775;s__	Desulfobacterota	Deltaproteobacteria
bacteria13733	GCA_002367115.1	4.32	97.79310345	4.466338259	Clostridium tunisiense	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__	Firmicutes_A	Firmicutes
bacteria13742	GCA_002367305.1	1.67	72.22222222	1.111111111	Actinobacteria bacterium UBA3086	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__;g__;s__	Actinobacteriota	Actinobacteria
bacteria14020	GCA_002375855.1	3.8	98.32214765	1.342281879	Clostridiales bacterium UBA3578	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium;s__	Firmicutes_A	Firmicutes
bacteria14048	GCA_002376415.1	2.84	89.70571096	1.048951049	Clostridiales bacterium UBA3582	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Ruminiclostridiaceae_A;g__DTU059;s__	Firmicutes_A	Firmicutes
bacteria14060	GCA_002376665.1	5.51	88.64894753	1.454138702	Hungateiclostridiaceae bacterium UBA3548	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__	Firmicutes_A	Firmicutes
bacteria14247	GCA_002380735.1	3.84	85.11722732	3.037716616	Anaerolineales bacterium UBA4142	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Chloroflexota	Chloroflexi
bacteria14256	GCA_002380925.1	2.84	68.19047619	2.142857143	Bacteroidales bacterium UBA4133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteroidota	Bacteroidetes
bacteria14269	GCA_002381185.1	4.32	97.66899767	3.146853147	Firmicutes bacterium UBA3553	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	Firmicutes_A	Firmicutes
bacteria14303	GCA_002381895.1	3.49	94.37275986	6.451612903	Geobacter sp. UBA4078	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria14306	GCA_002381965.1	2.72	91.4516129	2.818740399	Syntrophaceae bacterium UBA4065	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria14310	GCA_002382045.1	2.95	92.58064516	2.580645161	Syntrophaceae bacterium UBA4059	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	Desulfobacterota	Deltaproteobacteria
bacteria14315	GCA_002382135.1	2.75	95.16129032	1.290322581	Smithella sp. UBA4047	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	Desulfobacterota	Deltaproteobacteria
bacteria14343	GCA_002382705.1	2.34	98.27956989	0	Geobacter sp. UBA4057	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	Desulfuromonadota	Deltaproteobacteria
bacteria14344	GCA_002382725.1	3.28	71.92982456	1.754385965	Desulfobulbaceae bacterium UBA4056	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria14346	GCA_002382755.1	1.82	85.03164557	0	Firmicutes bacterium UBA4049	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__46-80;s__	Firmicutes_B	Firmicutes
bacteria14347	GCA_002382785.1	2.49	90.13605442	1.318027211	Desulfosporosinus sp. UBA4048	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria14368	GCA_002383325.1	3.49	85.34781576	3.846153846	Candidatus Aminicenantes bacterium UBA4085	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__;s__	Acidobacteriota	Acidobacteria
bacteria14523	GCA_002386685.1	4.17	98.36829837	3.846153846	Firmicutes bacterium UBA4599	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	Firmicutes_A	Firmicutes
bacteria14584	GCA_002387895.1	4.16	97.79310345	5.845648604	Clostridium sp. UBA4548	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__	Firmicutes_A	Firmicutes
bacteria15035	GCA_002396925.1	3.18	97.4829932	3.911564626	Syntrophomonas sp. UBA4990	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15050	GCA_002397225.1	2.93	93.73542274	2.083333333	Syntrophomonas sp. UBA4968	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15087	GCA_002397955.1	1.83	96.61016949	1.694915254	Synergistaceae bacterium UBA4921	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__	Synergistota	Synergistaceae
bacteria15094	GCA_002398105.1	3.01	95.5952381	1.743197279	Syntrophomonas sp. UBA4911	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15105	GCA_002398325.1	3.38	83.80102041	2.695578231	Syntrophomonas sp. UBA4894	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria15146	GCA_002399145.1	2.99	91.38605442	2.848639456	Syntrophomonas sp. UBA4889	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15155	GCA_002399315.1	2.88	77.37216865	2.865646259	Syntrophomonas sp. UBA4878	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria15189	GCA_002400005.1	3.19	97.80855199	3.954081633	Syntrophomonas sp. UBA4844	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15208	GCA_002400365.1	4.4	89.90825688	2.956167176	Anaerolineales bacterium UBA4826	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Chloroflexota	Chloroflexi
bacteria15219	GCA_002402385.1	3.92	83.87096774	1.290322581	Syntrophaceae bacterium UBA4816	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	Desulfobacterota	Deltaproteobacteria
bacteria15227	GCA_002402545.1	2.31	81.84229391	0	Syntrophaceae bacterium UBA4810	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	Desulfobacterota	Deltaproteobacteria
bacteria15247	GCA_002402945.1	1.93	91.47884343	2.305605787	Pelotomaculum sp. UBA4789	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria15258	GCA_002403175.1	3.44	84.6953405	5.64516129	Syntrophaceae bacterium UBA4778	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria15291	GCA_002403815.1	3.84	90.5563654	1.092687075	Desulfosporosinus sp. UBA4745	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria15310	GCA_002404215.1	2.9	83.81886821	2.457482993	Desulfosporosinus sp. UBA4726	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria15437	GCA_002407865.1	3.41	86.70612269	2.247191011	Spirochaetia bacterium UBA5368	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__;g__;s__	Spirochaetota	Firmicutes
bacteria15457	GCA_002408285.1	2.72	96.1643586	6.231778426	Peptococcaceae bacterium UBA5318	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__DRI-13;f__DRI-13;g__;s__	Firmicutes_B	Firmicutes
bacteria15458	GCA_002408305.1	3.09	96.32653061	3.698979592	Syntrophomonas sp. UBA5316	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15465	GCA_002408445.1	2.92	87.23639456	1.403061224	Syntrophomonas sp. UBA5288	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria15477	GCA_002408685.1	1.78	88.81355932	0	Synergistaceae bacterium UBA5258	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__	Synergistota	Synergistaceae
bacteria15487	GCA_002408885.1	3.61	81.58049354	2.364864865	Lentisphaeria bacterium UBA5247	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1784;f__UBA1784;g__;s__	Verrucomicrobiota	Lentisphaerae
bacteria15490	GCA_002408935.1	3.19	97.15500486	4.931972789	Syntrophomonas sp. UBA5246	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15495	GCA_002409045.1	1.76	84.02670776	0	Synergistaceae bacterium UBA5240	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__	Synergistota	Synergistaceae
bacteria15534	GCA_002409825.1	3	91.41483516	1.488095238	Syntrophomonas sp. UBA5373	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15553	GCA_002410205.1	1.78	82.12634823	3.543913713	Synergistaceae bacterium UBA5331	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__	Synergistota	Synergistaceae
bacteria15559	GCA_002410325.1	4.01	99.21768707	4.413265306	Syntrophomonas sp. UBA5314	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria15587	GCA_002410865.1	2.95	75.91836735	1.99829932	Syntrophomonas sp. UBA5380	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__;s__	Firmicutes_B	Firmicutes
bacteria15609	GCA_002411325.1	3.25	96.51930552	3.103741497	Syntrophomonas sp. UBA5298	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15632	GCA_002412435.1	3.18	96.99222546	3.528911565	Syntrophomonas sp. UBA5221	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	Firmicutes_B	Firmicutes
bacteria15636	GCA_002412505.1	3.77	77.27921416	1.121304791	Anaerolineales bacterium UBA5215	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Chloroflexota	Chloroflexi
bacteria15646	GCA_002412715.1	3.7	90.32258065	3.548387097	Deltaproteobacteria bacterium UBA5205	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__	Desulfobacterota_B	Deltaproteobacteria
bacteria15651	GCA_002412825.1	3.46	98.85057471	2.298850575	Spirochaetaceae bacterium UBA5200	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__	Spirochaetota	Spirochaetes
bacteria15658	GCA_002412965.1	4.12	98.14814815	0	Desulfomicrobium sp. UBA5193	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__	Desulfobacterota	Deltaproteobacteria
bacteria15664	GCA_002413075.1	3.04	89.89552964	0.863095238	Desulfosporosinus sp. UBA5188	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria15672	GCA_002413245.1	3.24	82.40099611	0.799319728	Desulfosporosinus sp. UBA5179	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria15722	GCA_002414225.1	3.53	95.45068027	0.595238095	Desulfobulbaceae bacterium UBA5121	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	Desulfobacterota	Deltaproteobacteria
bacteria15783	GCA_002415465.1	2.28	74.85670194	1.658163265	Desulfobulbaceae bacterium UBA5123	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	Desulfobacterota	Deltaproteobacteria
bacteria15803	GCA_002415855.1	4.51	93.47089947	3.841269841	Bacteroidales bacterium UBA5072	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Bacteroidota	Bacteroidetes
bacteria15853	GCA_002418185.1	2.48	92.66513057	2.258064516	Deltaproteobacteria bacterium UBA5799	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__;s__	GWC2-55-46	Deltaproteobacteria
bacteria15873	GCA_002418585.1	2.55	84.28048142	2.729591837	Desulfosporosinus sp. UBA5775	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	Firmicutes_B	Firmicutes
bacteria15885	GCA_002418825.1	2.12	77.41935484	3.225806452	Syntrophaceae bacterium UBA5764	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	Desulfobacterota	Deltaproteobacteria
bacteria15886	GCA_002418835.1	4.44	83.14606742	1.123595506	Spirochaetia bacterium UBA5763	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__UBA5550;s__	Spirochaetota	Spirochaetes
bacteria15893	GCA_002418985.1	3.42	95.37634409	3.225806452	Deltaproteobacteria bacterium UBA5756	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__	Desulfobacterota_B	Deltaproteobacteria
bacteria15898	GCA_002419085.1	3.16	75.43859649	1.754385965	Desulfobulbaceae bacterium UBA5750	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria15914	GCA_002419385.1	3.08	84.19354839	1.935483871	Geobacter sp. UBA5735	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__	Desulfuromonadota	Deltaproteobacteria
bacteria15920	GCA_002419525.1	2.56	83.82488479	1.935483871	Syntrophaceae bacterium UBA5726	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__	Desulfobacterota	Deltaproteobacteria
bacteria15924	GCA_002419605.1	2.33	73.05478751	1.290322581	Smithella sp. UBA5724	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	Desulfobacterota	Deltaproteobacteria
bacteria15970	GCA_002420525.1	2.88	95.16129032	0.64516129	Desulfobacteraceae bacterium UBA5681	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__	Desulfobacterota	Deltaproteobacteria
bacteria16029	GCA_002421695.1	2.68	81.76139273	1.290322581	Smithella sp. UBA6208	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	Desulfobacterota	Deltaproteobacteria
